Rule,Frequency
PC9 <= -0.51,10
PC8 <= -0.39,9
PC10 <= -0.43,5
PC9 > 0.73,5
PC2 <= -0.75,5
PC8 > 0.73,5
PC8 <= 0.17,5
PC8 > 0.17,4
PC2 > 1.16,4
PC9 <= 0.06,4
