Feature,SHAP_Importance,Rank
PC8,1.8681434,1
PC9,1.6457427,2
PC2,0.9853641,3
PC10,0.85531324,4
PC12,0.82589287,5
PC5,0.6263734,6
PC14,0.5728604,7
PC3,0.49624458,8
PC16,0.3483824,9
PC7,0.27790537,10
PC1,0.27226266,11
PC15,0.22161682,12
PC11,0.20692532,13
PC18,0.18981497,14
PC17,0.17260784,15
PC4,0.15085688,16
PC6,0.13965464,17
PC13,0.11303511,18
