Model,Type,Accuracy,Precision,Recall,F1_Score,ROC_AUC
RandomForest,Individual,0.8288288288288288,0.8985507246376812,0.8378378378378378,0.8671328671328671,0.9057706355003652
LightGBM,Individual,0.8378378378378378,0.9,0.8513513513513513,0.875,0.9050401753104456
XGBoost,Individual,0.8378378378378378,0.9,0.8513513513513513,0.875,0.8977355734112491
Ensemble,Ensemble,0.8378378378378378,0.9,0.8513513513513513,0.875,0.9108838568298028
