Feature,Frequency,Percentage
PC8,24,80.0
PC9,23,76.66666666666667
PC2,7,23.333333333333332
PC12,4,13.333333333333334
PC10,3,10.0
PC15,2,6.666666666666667
PC7,1,3.3333333333333335
PC5,1,3.3333333333333335
